,doc_len,word_count,sent_count,avg_word_len,ck,cc,di,nn,dd,ai,ss,mn,bb,sci,ze,qu,se,sc,ci,ps,si,tch,ngue,st,gu,th,pn,ve,te,zz,au,lm,lf,ge,wh,tu,wr,ph,sh,mm,gh,dge,ft,tt,ed,ng,lk,ti,gue,rr,ch,ll,gn,ff,gg,pp,rh,ce,mb,kn,eer,ere,uy,ho,ear,ei,ar,oor,ure,eigh,ey,is,ae,ow,or,ew,ore,ur,uoy,air,ough,yr,ea,ayer,augh,aw,eau,aigh,igh,oy,oo,ue,are,ee,oa,et,y,er,eir,oew,oar,ie,eo,ui,ier,ou,ir,oi,ay,ye,oe,our,1_letter,2_letter,3_letter,4_letter,5_letter,6_letter,7_letter,8_letter,9_letter,10_letter,11_letter,12_letter,wps,dialogue,target
0,992.0,179.0,12.0,5.48,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,34.0,0.0,6.0,8.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,6.0,0.0,1.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,0.0,3.0,0.0,1.0,10.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,5.0,17.0,49.0,49.0,21.0,10.0,9.0,10.0,8.0,3.0,0.0,0.0,16.272727272727273,0.0,-0.34025912
1,937.0,169.0,18.0,5.44,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,15.0,0.0,12.0,4.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,2.0,9.0,6.0,0.0,3.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,7.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,26.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,4.0,1.0,0.0,0.0,13.0,26.0,48.0,30.0,17.0,15.0,12.0,5.0,2.0,5.0,2.0,0.0,11.266666666666667,1.0,-0.31537234
2,908.0,166.0,13.0,5.4,3.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,14.0,0.0,2.0,11.0,0.0,3.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,4.0,11.0,4.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,2.0,8.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,23.0,12.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,2.0,0.0,3.0,1.0,0.0,1.0,11.0,28.0,45.0,35.0,24.0,7.0,11.0,9.0,3.0,2.0,0.0,0.0,13.833333333333334,1.0,-0.58011797
3,909.0,164.0,6.0,5.51,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,24.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,9.0,3.0,0.0,3.0,0.0,0.0,4.0,8.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,11.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,16.0,54.0,31.0,21.0,20.0,15.0,4.0,1.0,1.0,0.0,1.0,32.8,0.0,-1.05401339
4,723.0,147.0,6.0,4.88,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,9.0,0.0,0.0,1.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,13.0,2.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,53.0,28.0,28.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,29.4,0.0,0.24719745
5,919.0,163.0,8.0,5.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,12.0,0.0,4.0,9.0,0.0,1.0,1.0,0.0,7.0,5.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,12.0,10.0,0.0,3.0,0.0,2.0,6.0,5.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,9.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,9.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,32.0,35.0,24.0,17.0,13.0,20.0,9.0,5.0,1.0,3.0,0.0,23.285714285714285,1.0,-0.86180858
6,1024.0,173.0,10.0,5.87,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,34.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,2.0,5.0,6.0,0.0,7.0,0.0,2.0,8.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,8.0,4.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,17.0,25.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,22.0,41.0,36.0,19.0,14.0,20.0,11.0,5.0,3.0,1.0,2.0,21.625,0.0,-1.7590614
7,927.0,172.0,8.0,5.35,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,36.0,0.0,7.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,7.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,12.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,12.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,31.0,46.0,30.0,18.0,20.0,7.0,7.0,4.0,4.0,2.0,0.0,24.571428571428573,0.0,-0.95232462
8,903.0,163.0,12.0,5.47,4.0,1.0,6.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,26.0,0.0,2.0,5.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,4.0,10.0,4.0,2.0,3.0,0.0,3.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,6.0,1.0,0.0,0.0,4.0,5.0,0.0,4.0,6.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,16.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,3.0,0.0,2.0,1.0,7.0,19.0,33.0,53.0,19.0,12.0,9.0,9.0,5.0,1.0,0.0,0.0,14.818181818181818,1.0,-0.37164069
9,1026.0,192.0,9.0,5.3,0.0,0.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,8.0,0.0,25.0,0.0,6.0,5.0,0.0,2.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,8.0,15.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,3.0,7.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,4.0,1.0,1.0,11.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,4.0,1.0,1.0,0.0,0.0,0.0,10.0,35.0,38.0,35.0,25.0,12.0,22.0,11.0,1.0,1.0,1.0,1.0,24.0,0.0,-1.23843222
10,1105.0,186.0,6.0,5.91,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0,32.0,0.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,11.0,7.0,0.0,7.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,13.0,14.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,35.0,47.0,21.0,15.0,15.0,16.0,12.0,9.0,10.0,1.0,3.0,37.2,0.0,-3.08133712
