,doc_len,word_count,sent_count,avg_word_len,ck,cc,di,nn,dd,ai,ss,mn,bb,sci,ze,qu,se,sc,ci,ps,si,tch,ngue,st,gu,th,pn,ve,te,zz,au,lm,lf,ge,wh,tu,wr,ph,sh,mm,gh,dge,ft,tt,ed,ng,lk,ti,gue,rr,ch,ll,gn,ff,gg,pp,rh,ce,mb,kn,eer,ere,uy,ho,ear,ei,ar,oor,ure,eigh,ey,is,ae,ow,or,ew,ore,ur,uoy,air,ough,yr,ea,ayer,augh,aw,eau,aigh,igh,oy,oo,ue,are,ee,oa,et,y,er,eir,oew,oar,ie,eo,ui,ier,ou,ir,oi,ay,ye,oe,our,w,h,e,n, ,t,y,o,u,g,p,l,r,d,b,a,m,",",i,s,c,.,f,v,-,k,z,x,j,"""",!,?,',q,;,é,1,9,6,—,‘,8,:,0,(,),7,5,3,4,2,–,[,],%,°,/,ü,+,í,ñ,~,ö,ç,¼,½,á,µ,*,=,×,ß,$,õ,æ,·,±,<,…,œ,è,&,_,÷,£,à,ê,­,î,´,ë,ä,ú,’,“,”,wiki,article,book,details,kid,edu,simple,story,1_letter,2_letter,3_letter,4_letter,5_letter,6_letter,7_letter,8_letter,9_letter,10_letter,11_letter,12_letter
0,992,179,12,4.55,1,0,1,0,0,1,0,0,0,0,1,0,2,2,2,1,0,0,0,4,0,34,0,6,8,0,1,1,0,2,3,2,0,0,1,0,1,0,1,3,12,6,0,1,0,0,7,6,0,0,0,1,0,2,0,0,0,7,0,1,3,0,3,1,0,0,1,2,0,5,7,1,0,2,0,0,0,0,11,1,0,0,1,0,1,2,6,0,0,3,0,1,10,18,0,0,0,1,1,0,0,5,2,0,1,1,1,1,26,52,110,56,178,68,10,62,19,18,17,43,51,38,12,65,15,14,34,44,20,11,14,7,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,49,49,21,10,9,10,8,3,0,0
1,937,169,11,4.55,0,0,1,1,1,3,3,0,0,0,0,0,3,0,0,0,3,0,0,5,0,15,0,12,4,0,1,1,2,2,4,1,0,0,5,0,4,0,0,2,9,6,0,3,0,0,1,12,0,1,0,0,0,1,0,0,0,0,0,3,3,0,7,0,3,0,1,1,0,3,1,2,0,4,0,0,1,2,7,0,1,0,0,0,2,0,1,0,2,1,0,2,26,18,0,0,0,1,0,0,0,12,0,1,4,1,0,0,19,47,89,33,168,55,26,57,26,20,8,49,46,35,8,57,17,24,42,40,10,10,11,12,0,3,0,1,2,12,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,48,30,17,15,12,5,2,5,2,0
2,908,166,12,4.48,3,1,1,1,1,4,2,0,0,0,0,2,5,1,0,0,2,1,0,5,0,14,0,2,11,0,3,0,1,5,1,0,0,0,2,0,3,0,1,4,11,4,0,2,0,0,2,6,0,1,0,1,0,3,1,1,0,4,0,0,1,2,4,0,1,1,2,8,0,4,2,0,0,2,0,1,0,0,3,0,1,0,0,0,2,0,1,0,0,2,0,3,23,12,1,0,0,1,0,2,0,6,2,0,3,1,0,1,15,31,91,43,165,65,23,41,15,22,17,37,36,33,12,67,17,17,44,47,19,11,8,4,2,7,0,0,0,10,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,45,35,24,7,11,9,3,2,0,0
3,909,164,6,4.55,0,0,0,0,0,3,0,0,0,0,0,1,5,2,1,0,3,0,0,5,0,24,0,4,6,0,0,0,0,1,2,1,0,0,1,0,2,1,1,1,9,3,0,3,0,0,4,8,0,1,0,1,0,3,0,0,0,0,0,1,5,1,11,0,1,0,1,6,0,2,3,1,2,1,0,1,2,0,11,0,0,1,0,0,0,0,2,1,1,3,0,3,8,6,0,0,0,0,0,1,0,9,1,0,2,2,0,0,19,45,94,58,163,56,8,44,16,28,18,36,43,41,9,67,8,23,42,47,9,5,18,4,3,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,54,31,21,20,15,4,1,1,0,1
4,723,147,6,3.93,0,0,0,0,7,4,0,0,0,0,4,0,1,0,0,0,5,0,0,0,0,20,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,7,9,0,0,1,0,1,7,4,0,0,0,0,0,1,0,0,0,2,0,2,13,2,13,0,0,0,3,0,0,1,11,0,0,0,0,4,0,0,23,0,0,0,0,0,0,0,1,0,0,6,0,1,3,4,2,0,0,0,0,0,0,1,6,0,0,0,0,0,11,36,91,19,146,50,3,30,6,13,7,31,43,38,17,65,13,13,32,15,8,5,12,1,4,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,53,28,28,14,0,2,0,0,0,0
5,919,163,8,4.64,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,2,2,0,0,7,0,12,0,4,9,0,1,1,0,7,5,1,0,0,1,3,1,0,0,1,12,10,0,3,0,2,6,5,0,4,0,1,0,4,0,0,0,2,0,2,1,1,6,0,0,0,0,4,0,1,9,0,1,4,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,4,1,0,9,17,0,0,0,2,0,0,0,5,3,0,0,0,0,1,15,38,106,50,162,55,9,49,16,18,22,36,57,34,10,66,18,15,40,38,18,7,25,5,0,3,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,35,24,17,13,20,9,5,1,3,0
6,1024,173,10,4.92,0,0,0,0,0,4,1,0,0,0,0,0,4,1,0,1,2,0,0,6,0,34,0,2,3,0,1,0,0,5,3,0,0,0,3,4,1,0,1,2,5,6,0,7,0,2,8,2,1,2,0,0,0,3,0,0,0,10,0,0,1,2,6,0,0,0,8,4,0,1,5,0,0,1,0,0,0,0,3,0,0,1,0,0,1,1,1,0,0,4,0,1,17,25,2,0,0,2,0,0,0,5,5,1,1,0,0,0,17,62,119,71,172,75,17,50,12,18,11,29,61,30,16,69,22,11,55,29,27,9,25,6,2,3,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,41,36,19,14,20,11,5,3,1,2
7,927,172,8,4.4,2,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,2,0,0,5,0,36,0,7,3,0,2,2,0,1,1,0,0,0,1,0,1,0,0,5,7,5,0,6,0,0,1,0,0,0,0,1,0,2,1,0,0,1,0,1,3,2,12,0,0,1,1,2,0,2,8,1,0,1,0,1,0,0,6,0,0,1,0,0,1,0,2,0,0,3,0,0,12,10,1,0,0,2,0,0,0,7,2,0,2,2,0,1,21,48,89,46,171,87,12,69,19,9,10,26,47,28,14,65,18,9,32,36,16,7,25,8,1,4,1,1,0,0,0,0,2,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,46,30,18,20,7,7,4,4,2,0
8,903,163,11,4.55,4,1,6,1,1,6,2,0,0,0,0,0,1,0,0,0,4,0,0,9,0,26,0,2,5,0,1,2,0,0,3,0,0,3,3,0,2,0,1,4,10,4,2,3,0,3,0,6,2,0,0,1,0,4,0,0,0,2,0,5,0,2,6,1,0,0,4,5,0,4,6,0,2,2,0,0,1,0,5,0,0,0,0,0,1,2,2,1,0,1,0,2,16,4,2,0,0,0,0,1,0,5,2,0,3,0,2,1,16,49,77,46,162,77,16,51,16,11,14,39,34,35,8,63,12,14,54,45,18,10,13,2,0,13,0,1,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,33,53,19,12,9,9,5,1,0,0
9,1026,192,9,4.35,0,0,3,0,1,3,2,0,0,0,2,0,4,1,2,1,2,0,0,8,0,25,0,6,5,0,2,0,1,4,6,0,0,0,1,0,5,0,1,0,8,15,1,3,0,0,5,0,0,0,0,1,0,2,0,0,0,3,0,3,0,0,0,0,1,0,1,6,0,3,7,0,1,1,0,1,3,0,5,0,0,1,0,0,2,1,3,1,0,4,1,1,11,10,0,0,0,2,0,0,0,12,4,1,1,0,0,0,25,60,102,58,191,72,11,63,22,29,14,30,47,39,13,70,13,13,50,40,18,8,20,8,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35,38,35,25,12,22,11,1,1,1,1
10,1105,186,6,4.95,0,2,1,0,1,2,1,0,0,1,0,3,2,1,5,0,3,0,0,4,0,32,0,7,5,0,0,0,2,0,5,1,0,0,2,0,3,0,0,0,11,7,0,7,0,0,3,1,0,2,0,2,0,5,0,0,0,4,0,3,0,0,3,0,0,0,0,10,0,0,5,1,1,0,0,0,0,0,5,0,0,0,0,0,3,0,1,2,0,2,0,1,13,14,0,0,0,7,0,1,0,8,3,1,1,1,0,0,21,68,115,66,185,89,13,67,22,14,20,37,41,44,15,67,21,10,71,43,25,5,25,12,0,3,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,47,21,15,15,16,12,9,10,1,3
11,873,159,10,4.5,1,0,2,0,1,2,3,0,0,0,0,1,3,0,0,0,2,0,0,5,0,13,0,5,6,0,0,0,0,2,4,1,0,0,3,0,3,0,1,0,8,7,0,6,0,0,3,2,1,0,0,0,0,0,0,1,0,1,0,2,1,0,7,0,1,0,0,15,0,2,9,1,1,2,0,0,0,0,1,0,0,0,0,0,3,1,2,0,0,1,0,1,11,10,0,0,0,3,0,0,2,6,1,1,0,2,0,1,23,47,69,50,158,56,11,54,14,15,15,29,40,34,8,57,13,13,65,47,7,9,19,8,3,4,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,42,20,22,10,9,6,8,1,2,2
12,1084,189,8,4.74,1,0,1,1,1,3,5,0,0,0,0,0,7,0,0,0,4,1,0,4,0,29,0,2,3,0,0,0,0,3,5,1,0,0,4,1,1,0,1,0,15,8,1,2,0,0,6,3,0,2,0,0,0,10,0,0,0,4,0,3,2,6,6,1,0,0,3,3,0,2,11,0,1,2,0,1,0,0,4,0,0,2,0,0,1,0,6,0,0,0,2,2,13,20,5,0,0,2,0,0,1,9,8,0,0,1,0,0,23,53,120,68,188,64,13,60,24,18,18,29,69,43,15,65,22,12,57,53,23,7,25,6,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,44,33,24,16,18,12,7,3,2,0
13,1081,199,16,4.44,4,0,3,0,0,1,1,0,0,0,0,0,5,0,0,1,1,0,0,9,0,32,0,5,9,0,1,0,0,4,2,4,0,0,1,1,7,1,1,2,15,8,0,5,0,1,4,5,1,0,0,2,0,1,0,1,0,4,0,5,3,0,12,1,2,0,1,8,0,3,7,1,1,8,0,0,2,0,6,0,0,1,1,0,5,0,4,1,3,2,1,1,11,9,0,0,0,1,0,0,0,9,0,1,2,1,0,1,18,75,111,63,198,82,11,57,28,21,14,33,46,42,14,75,17,10,55,42,15,15,20,8,0,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,37,46,37,21,15,12,8,9,0,5,1
14,967,181,12,4.35,2,0,1,2,1,2,1,0,0,0,0,1,3,1,0,0,0,1,0,3,0,22,0,6,3,0,2,0,0,2,5,2,0,0,4,0,3,0,0,0,13,6,0,3,0,0,2,7,0,1,0,0,0,3,0,0,0,3,0,4,1,0,3,1,2,0,1,3,0,6,7,0,0,4,0,0,1,0,7,0,0,1,0,0,2,0,7,1,1,2,0,4,9,14,0,0,0,0,0,1,0,5,0,0,1,0,0,1,27,51,96,51,180,67,9,62,19,16,15,32,47,36,15,66,22,9,45,34,17,11,15,6,5,6,1,1,0,0,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,47,44,27,15,14,3,3,1,0,0
15,902,172,5,4.25,1,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,2,3,2,22,0,9,6,0,1,0,1,0,1,0,0,0,2,0,2,0,0,4,3,19,0,1,2,1,4,5,0,1,0,0,0,0,0,0,0,5,0,5,1,1,2,0,1,0,0,3,0,6,4,2,2,5,0,0,2,0,5,0,0,0,0,0,0,0,1,2,0,2,1,2,6,15,1,0,0,2,2,3,1,8,2,0,0,0,0,2,25,54,98,50,171,69,6,51,21,24,7,37,39,23,13,52,7,6,46,40,13,4,15,10,0,8,0,1,0,2,2,0,1,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,40,37,18,15,12,6,2,3,0,1
16,936,179,13,4.23,0,1,5,0,0,1,0,0,1,0,0,2,2,0,0,0,5,0,0,3,0,23,0,1,4,0,1,0,0,1,5,0,0,0,10,0,2,0,1,1,10,4,1,3,0,0,4,0,1,1,0,0,0,2,0,0,1,2,0,2,0,0,5,0,1,0,2,3,0,1,0,0,0,3,0,0,1,0,1,0,0,2,0,0,1,1,3,0,0,3,0,1,12,18,0,0,0,8,0,2,3,7,1,0,0,1,0,1,30,60,90,46,178,66,12,59,26,13,8,23,40,44,11,53,13,11,47,57,16,12,10,1,1,6,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,63,36,19,11,3,15,3,2,0,0
17,914,177,3,4.17,1,0,1,0,0,2,1,0,1,0,1,2,6,1,0,0,2,1,0,5,0,34,0,7,6,0,1,1,0,2,7,1,0,0,0,0,3,0,2,1,6,4,0,1,0,0,2,4,0,1,1,2,0,3,1,0,0,5,0,5,0,0,2,1,0,0,9,3,0,3,6,0,2,0,0,0,2,1,3,0,1,2,0,0,0,0,2,0,0,4,0,0,17,15,0,0,0,0,0,2,0,12,2,0,2,0,0,0,19,61,102,55,176,75,17,49,19,15,9,25,36,41,14,57,15,10,34,31,11,2,21,7,0,4,1,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,52,42,20,16,11,5,3,1,0,0
