,target
0,-0.34
1,-0.32
2,-0.58
3,-1.05
4,0.25
5,-0.86
6,-1.76
7,-0.95
8,-0.37
9,-1.24
10,-3.08
11,-2.15
12,-1.4
13,-0.5
14,0.25
15,-0.19
16,-1.29
17,-0.62
18,-1.13
19,-1.01
20,0.28
21,0.28
22,-1.57
23,-2.39
24,-1.48
25,0.63
26,-1.39
27,-0.15
28,-1.31
29,-1.41
30,-0.48
31,0.4
32,-0.95
33,-1.05
34,0.02
35,-0.47
36,0.61
37,-0.04
38,0.86
39,-1.29
40,-0.13
41,-0.13
42,0.39
43,-1.06
44,-0.59
45,-1.93
46,0.28
47,-1.0
48,-1.01
49,-0.75
50,-0.46
51,-0.5
52,-0.37
53,-1.62
54,0.09
55,-0.02
56,-1.17
57,-0.21
58,-1.86
59,-0.72
60,-1.16
61,-0.54
62,-0.01
63,-0.73
64,-0.61
65,1.04
66,-1.74
67,-0.38
68,-0.29
69,-0.88
70,-1.57
71,-1.97
72,-1.33
73,0.01
74,-0.51
75,-0.61
76,-0.85
77,0.29
78,-1.1
79,-0.76
80,-0.42
81,-1.52
82,-1.38
83,-0.68
84,-0.48
85,-0.51
86,-0.53
87,-1.22
88,-1.24
89,-0.1
90,-0.87
91,-0.7
92,-1.56
93,-1.7
94,-1.62
95,-0.61
96,-1.14
97,0.06
98,0.18
99,-0.81
100,-1.97
101,-1.82
102,-0.76
103,-1.01
104,-1.29
105,-1.24
106,0.0
107,-0.71
108,-0.25
109,0.27
110,-0.28
111,-1.64
112,-1.94
113,-0.22
114,-1.49
115,-1.19
116,-1.1
117,-1.97
118,-0.21
119,-1.7
120,-2.32
121,-0.24
122,-1.68
123,-0.45
124,-0.09
125,-0.37
126,-0.69
127,-2.46
128,-1.19
129,-0.01
130,-2.02
131,-0.42
132,-2.63
133,-2.46
134,-0.95
135,-0.65
136,-0.06
137,-0.36
138,-0.88
139,-0.84
140,-0.63
141,-1.04
142,-0.44
143,-1.46
144,-1.25
145,-2.16
146,-0.15
147,-0.89
148,-1.06
149,-0.72
150,-0.66
151,-1.01
152,-2.19
153,-1.76
154,-1.1
155,-1.71
156,-0.86
157,-1.56
158,-1.03
159,-0.37
160,-0.38
161,-1.14
162,-1.54
163,-0.46
164,-0.86
165,-0.61
166,-1.48
167,-0.13
168,-1.03
169,0.88
170,-0.71
171,-0.71
172,-1.57
173,-1.33
174,-1.86
175,-0.55
176,-1.08
177,-1.22
178,-0.8
179,-1.96
180,-1.24
181,0.38
182,-1.16
183,0.57
184,-0.49
185,-0.29
186,0.6
187,-1.74
188,0.18
189,-1.56
190,-1.16
191,-0.15
192,-0.89
193,-0.0
194,-2.06
195,-0.28
196,-0.75
197,-1.74
198,0.94
199,0.28
200,-0.9
201,-2.06
202,-0.28
203,-1.73
204,-0.04
205,-0.96
206,-0.52
207,-1.46
208,-1.47
209,-1.04
210,-0.73
211,0.06
212,-1.88
213,-0.8
214,-1.62
215,-1.68
216,-1.08
217,-2.93
218,-2.42
219,-1.12
220,-1.26
221,-2.05
222,-1.3
223,-0.71
224,-1.54
225,-2.05
226,-0.85
227,-0.39
228,-0.69
229,-0.96
230,-0.11
231,-0.98
232,-1.26
233,-0.99
234,-1.08
235,-2.06
236,-2.64
237,-0.89
238,-0.56
239,-0.43
240,1.47
241,-0.06
242,-1.1
243,-0.1
244,-0.37
245,0.62
246,0.69
247,-0.41
248,-1.67
249,-0.16
250,-0.81
251,-0.34
252,-0.82
253,-1.63
254,-2.49
255,-1.72
256,-2.11
257,-0.39
258,-1.56
259,-0.75
260,-0.86
261,-0.58
262,-1.16
263,-1.59
264,-0.65
265,-1.37
266,-2.19
267,-0.84
268,-0.87
269,-0.54
270,-1.24
271,1.02
272,-1.15
273,-1.67
274,-1.33
275,-1.21
276,-1.31
277,-1.96
278,-1.06
279,-1.78
280,-0.27
281,-1.25
282,-1.28
283,-0.76
284,-1.11
285,-0.99
286,-0.11
287,-2.33
288,-1.28
289,0.41
290,-1.43
291,-1.65
292,-1.81
293,-2.09
294,0.84
295,-0.01
296,-0.2
297,0.03
298,-0.81
299,-1.41
300,-0.86
301,-2.54
302,-0.58
303,-0.59
304,-2.03
305,-0.52
306,-2.18
307,0.91
308,-1.4
309,-0.24
310,0.41
311,-0.8
312,-1.49
313,-0.97
314,-0.52
315,-2.14
316,-1.55
317,-0.0
318,-1.84
319,-0.94
320,-2.3
321,-0.62
322,-2.52
323,-0.82
324,-1.49
325,-1.15
326,-1.16
327,-1.54
328,-1.84
329,-0.1
330,0.08
331,-2.24
332,-2.2
333,-1.72
334,0.33
335,-1.64
336,-2.38
337,-1.53
338,-0.45
339,-0.4
340,-1.65
341,-2.99
342,0.73
343,-1.82
344,-3.41
345,-0.36
346,-2.16
347,-2.38
348,-1.36
349,0.15
350,-0.35
351,-0.2
352,-1.41
353,-0.54
354,-3.14
355,-0.85
356,-1.68
357,-1.2
358,-0.83
359,-1.41
360,-1.67
361,-0.52
362,0.8
363,-2.09
364,-0.01
365,-1.38
366,-0.75
367,-0.52
368,-1.84
369,-2.49
370,-0.55
371,-1.4
372,-1.5
373,-1.07
374,-0.64
375,-3.12
376,-2.05
377,-0.87
378,-0.07
379,-0.63
380,-1.16
381,-1.93
382,-1.98
383,-1.34
384,-1.49
385,-1.5
386,-2.11
387,0.77
388,-1.13
389,0.33
390,-0.43
391,-0.94
392,0.1
393,-0.73
394,-0.8
395,-0.74
396,-1.01
397,0.13
398,-0.28
399,-0.62
400,-0.24
401,-1.87
402,-1.57
403,-0.71
404,-1.27
405,0.15
406,-0.61
407,-0.56
408,0.12
409,-1.8
410,0.78
411,-2.12
412,-1.01
413,-0.74
414,-0.65
415,-0.03
416,-1.27
417,0.19
418,-2.11
419,-0.63
420,-0.26
421,-0.29
422,-1.12
423,-1.43
424,-0.07
425,-1.16
426,-2.27
427,-2.79
